season_id,episode,ep_ord,player_a,player_b,weight,event_type,format
s17_the_duel_ii,1/2,1,Aneesa Ferreira,Shauvon Torres,1.0,elimination,individual
s17_the_duel_ii,2,2,Kimberly Alexander,Robin Hibbard,1.0,elimination,individual
s17_the_duel_ii,2,2,MJ Garrett,Ryan Kehoe,1.0,elimination,individual
s17_the_duel_ii,3,3,Brittini Sherrod,Brooke LaBarbera,1.0,elimination,individual
s17_the_duel_ii,3,3,Evan Starkman,Davis Mallory,1.0,elimination,individual
s17_the_duel_ii,4,4,Jenn Grijalva,Katie Cooley,1.0,elimination,individual
s17_the_duel_ii,4,4,Evan Starkman,Nehemiah Clark,1.0,elimination,individual
s17_the_duel_ii,5,5,Landon Lueck,Isaac Stout,1.0,elimination,individual
s17_the_duel_ii,5,5,Kimberly Alexander,Ruthie Alcaide,1.0,elimination,individual
s17_the_duel_ii,6,6,Derek McCray,Big Easy Banks,1.0,elimination,individual
s17_the_duel_ii,6,6,Jenn Grijalva,Kimberly Alexander,1.0,elimination,individual
s17_the_duel_ii,7,7,MJ Garrett,Dunbar Merrill,1.0,elimination,individual
s17_the_duel_ii,7,7,Aneesa Ferreira,Paula Meronek,1.0,elimination,individual
s17_the_duel_ii,8,8,Evan Starkman,Derek McCray,1.0,elimination,individual
s17_the_duel_ii,8,8,Diem Brown,Jenn Grijalva,1.0,elimination,individual
s17_the_duel_ii,9/10,9,Brad Fiorenza,MJ Garrett,1.0,elimination,individual
s17_the_duel_ii,9/10,9,Aneesa Ferreira,Tori Hall,1.0,elimination,individual
s17_the_duel_ii,10,10,Brad Fiorenza,Landon Lueck,1.0,elimination,individual
s17_the_duel_ii,10,10,Brittini Sherrod,Diem Brown,1.0,elimination,individual
s18_the_ruins,1,1,Wes Bergmann,Chet Cannon,1.0,elimination,individual
s18_the_ruins,1,1,Tonya Cooley,Diem Brown,1.0,elimination,individual
s18_the_ruins,2,2,Wes Bergmann,Nick Brown,1.0,elimination,individual
s18_the_ruins,2,2,KellyAnne Judd,Evelyn Smith,1.0,elimination,individual
s18_the_ruins,3,3,Susie Meister,Brianna Taylor,1.0,elimination,individual
s18_the_ruins,3,3,Syrus Yarbrough,Adam King,1.0,elimination,individual
s18_the_ruins,4,4,Sarah Rice,Katie Cooley,1.0,elimination,individual
s18_the_ruins,4,4,Darrell Taylor,Danny Jamieson,1.0,elimination,individual
s18_the_ruins,5,5,Cohutta Grindstaff,Wes Bergmann,1.0,elimination,individual
s18_the_ruins,5,5,Kimberly Alexander,Ibis Nieves,1.0,elimination,individual
s18_the_ruins,6,6,Cohutta Grindstaff,Syrus Yarbrough,1.0,elimination,individual
s18_the_ruins,6,6,KellyAnne Judd,Veronica Portillo,1.0,elimination,individual
s18_the_ruins,7,7,Sarah Rice,Johanna Botta,1.0,elimination,individual
s18_the_ruins,7,7,Darrell Taylor,Cohutta Grindstaff,1.0,elimination,individual
s18_the_ruins,8/9,8,Susie Meister,Kimberly Alexander,1.0,elimination,individual
s18_the_ruins,8/9,8,Johnny Bananas,Dunbar Merrill,1.0,elimination,individual
s18_the_ruins,9,9,Susie Meister,Casey Cooper,1.0,elimination,individual
s19_fresh_meat_ii,1,1,Jillian Zoboroski,Darrell Taylor,1.0,elimination,individual
s19_fresh_meat_ii,1,1,Jillian Zoboroski,Cara Maria Sorbello,1.0,elimination,individual
