season_id,player,episode,game,opponent,fandom_result
s41_vets_and_new_threats,Adrienne Naylor,15,Loose Ends,Jake Cornish,W
s15_the_gauntlet_iii,Alex Smith,1,Force Field,Nehemiah Clark,L
s31_vendettas,Alicia Wright,4,Chain Reaction,Melissa Reeves,L
s07_the_gauntlet,Alton Williams,11,Pole Climb,Laterrian Wallace,W
s11_the_gauntlet_2,Alton Williams,4,Beach Brawl,Danny Dias,W
s11_the_gauntlet_2,Alton Williams,6,Capture the Flag,Adam King,W
s11_the_gauntlet_2,Alton Williams,12,Capture the Flag,Jeremy Blossom,W
s14_the_inferno_3,Alton Williams,2/3,Head Rush,Tyri Ballard-Brown,W
s23_battle_of_the_seasons_2012,Alton Williams,9,Balls Out,Marie Roda,L
s23_battle_of_the_seasons_2012,Alton Williams,9,Balls Out,Robb Schreiber,L
s28_rivals_iii,Amanda Garcia,5,Weight for Me,Jessica McCain,W
s28_rivals_iii,Amanda Garcia,5,Weight for Me,Johnny Reilly,W
s28_rivals_iii,Amanda Garcia,7,Chill Out,Jamie Banks,L
s28_rivals_iii,Amanda Garcia,7,Chill Out,KellyAnne Judd,L
s29_invasion_of_the_champions,Amanda Garcia,11,Inside Out,Ashley Mitchell,L
s32_final_reckoning,Amanda Garcia,13,Shake It Off,Cory Wharton,L
s32_final_reckoning,Amanda Garcia,13,Shake It Off,Devin Walker,L
s33_war_of_the_worlds,Amanda Garcia,7,Uphill Battle,Kam Williams,L
s33_war_of_the_worlds,Amanda Garcia,7,Uphill Battle,Ashley Cain,L
s37_spies_lies_allies,Amanda Garcia,14,Vault Escape,Big T Fazakerley,W
s37_spies_lies_allies,Amanda Garcia,18,Drone Drop,Tori Deal,L
s40_battle_of_the_eras,Amanda Garcia,2,Balls In,Nia Moore,L
s36_double_agents,Amber Borzotra,10,Hall Brawl,Amber Martinez,W
s36_double_agents,Amber Borzotra,16,Hall Brawl,Big T Fazakerley,W
s37_spies_lies_allies,Amber Borzotra,4,Down to the Wire,Corey Lay,W
s37_spies_lies_allies,Amber Borzotra,4,Down to the Wire,Michele Fitzgerald,W
s37_spies_lies_allies,Amber Borzotra,9,Hang in the Balance,Bettina Buchanan,L
s37_spies_lies_allies,Amber Borzotra,9,Hang in the Balance,Cory Wharton,L
s38_ride_or_dies,Amber Borzotra,7,Deep Web,Darrell Taylor,W
s38_ride_or_dies,Amber Borzotra,7,Deep Web,Veronica Portillo,W
s38_ride_or_dies,Amber Borzotra,11,Pato Brawl,Nurys Mateo,W
s38_ride_or_dies,Amber Borzotra,15,Rumble Tumble,Aneesa Ferreira,L
s38_ride_or_dies,Amber Borzotra,15,Rumble Tumble,Jordan Wiseley,L
s36_double_agents,Amber Martinez,10,Hall Brawl,Amber Borzotra,L
s41_vets_and_new_threats,America Lopez,13,Think Alike,Theo Campbell,L
s41_vets_and_new_threats,America Lopez,13,Think Alike,Adrienne Naylor,L
s30_xxx_dirty_30,Ammo Hall,4,The Great Escape,Tony Raines,W
